gender,parental level of education,lunch,test preparation course,math score,reading score,writing score,family income,study hours 
female,bachelor's degree,standard,none,72,72,74,Low,8
female,some college,standard,completed,69,90,88,Medium,12
female,master's degree,standard,none,90,95,93,Medium,12
male,associate's degree,free/reduced,none,47,57,44,Medium,15
male,some college,standard,none,76,78,75,Medium,15
female,associate's degree,standard,none,71,83,78,Medium,14
female,some college,standard,completed,88,95,92,Low,13
male,some college,free/reduced,none,40,43,39,High,5
male,high school,free/reduced,completed,64,64,67,Medium,10
female,high school,free/reduced,none,38,60,50,High,6
male,associate's degree,standard,none,58,54,52,Medium,9
male,associate's degree,standard,none,40,52,43,Low,9
female,high school,standard,none,65,81,73,Medium,20
male,some college,standard,completed,78,72,70,Medium,18
female,master's degree,standard,none,50,53,58,Low,
female,some high school,standard,none,69,75,78,Medium,10
male,high school,standard,none,88,89,86,High,9
female,some high school,free/reduced,none,18,32,28,Low,20
male,master's degree,free/reduced,completed,46,42,46,Low,20
female,associate's degree,free/reduced,none,54,58,61,Medium,19
male,high school,standard,none,66,69,63,High,
female,some college,free/reduced,completed,65,75,70,Medium,20
male,some college,standard,none,44,54,53,Medium,5
female,some high school,standard,none,69,73,73,Low,15
male,bachelor's degree,free/reduced,completed,74,71,80,Low,9
male,master's degree,free/reduced,none,73,74,72,High,16
male,some college,standard,none,69,54,55,High,12
female,bachelor's degree,standard,none,67,69,75,High,6
male,high school,standard,none,70,70,65,Low,8
female,master's degree,standard,none,62,70,75,Low,12
female,some college,standard,none,69,74,74,High,8
female,some college,standard,none,63,65,61,High,8
female,master's degree,free/reduced,none,56,72,65,Medium,
male,some college,standard,none,40,42,38,Medium,8
male,some college,standard,none,97,87,82,Medium,19
male,associate's degree,standard,completed,81,81,79,Low,15
female,associate's degree,standard,none,74,81,83,Medium,11
female,some high school,free/reduced,none,50,64,59,Low,
female,associate's degree,free/reduced,completed,75,90,88,Low,15
male,associate's degree,free/reduced,none,57,56,57,Medium,13
male,associate's degree,free/reduced,none,55,61,54,High,5
female,associate's degree,standard,none,58,73,68,Medium,11
female,associate's degree,standard,none,53,58,65,Medium,
male,some college,free/reduced,completed,59,65,66,Medium,6
female,associate's degree,free/reduced,none,50,56,54,Medium,13
male,associate's degree,standard,none,65,54,57,Medium,9
female,associate's degree,standard,completed,55,65,62,Medium,13
female,high school,standard,none,66,71,76,Low,16
female,associate's degree,free/reduced,completed,57,74,76,Low,8
male,high school,standard,completed,82,84,82,Medium,19
male,some college,standard,none,53,55,48,Medium,7
male,associate's degree,free/reduced,completed,77,69,68,Medium,10
male,some college,standard,none,53,44,42,Medium,18
male,high school,standard,none,88,78,75,Medium,17
female,some high school,free/reduced,completed,71,84,87,High,
female,high school,free/reduced,none,33,41,43,Low,16
female,associate's degree,standard,completed,82,85,86,Medium,17
male,associate's degree,standard,none,52,55,49,Medium,13
male,some college,standard,completed,58,59,58,Medium,9
female,some high school,free/reduced,none,0,17,10,Low,
male,bachelor's degree,free/reduced,completed,79,74,72,High,5
male,some high school,free/reduced,none,39,39,34,Low,7
male,associate's degree,free/reduced,none,62,61,55,Low,20
female,associate's degree,standard,none,69,80,71,Low,8
female,some high school,standard,none,59,58,59,Medium,10
male,some high school,standard,none,67,64,61,Medium,20
male,some high school,free/reduced,none,45,37,37,Low,18
female,some college,standard,none,60,72,74,Medium,6
male,associate's degree,free/reduced,none,61,58,56,Low,12
female,associate's degree,standard,none,39,64,57,Low,10
female,some college,free/reduced,completed,58,63,73,Medium,14
male,some college,standard,completed,63,55,63,Low,14
female,associate's degree,free/reduced,none,41,51,48,Low,10
male,some high school,free/reduced,none,61,57,56,Medium,8
male,some high school,standard,none,49,49,41,Medium,17
male,associate's degree,free/reduced,none,44,41,38,Medium,14
male,some high school,standard,none,30,26,22,Medium,19
male,bachelor's degree,standard,completed,80,78,81,Medium,11
